char1,char1wins,char2wins,char2,p1id,p2id
Sheik,10,9,Captain Falcon,4,430
Marth,3,0,Peach,4,437
Sheik,2,0,Captain Falcon,4,448
Marth,1,1,Fox,4,453
Sheik,1,0,Captain Falcon,4,453
Sheik,1,0,Fox,4,453
Peach,2,0,Ice Climbers,4,517
Marth,2,0,Fox,4,2027
Sheik,1,0,Fox,4,2027
Jigglypuff,25,21,Fox,5,6
Jigglypuff,4,0,Falco,5,7
Jigglypuff,6,1,Pikachu,5,7
Jigglypuff,2,0,Young Link,5,7
Jigglypuff,9,4,Marth,5,8
Jigglypuff,12,3,Falco,5,9
Jigglypuff,15,2,Fox,5,9
Jigglypuff,2,1,Fox,5,27
Jigglypuff,1,0,Fox,5,26
Jigglypuff,5,0,Marth,5,26
Jigglypuff,3,0,Ice Climbers,5,25
Jigglypuff,3,0,Samus,5,24
Jigglypuff,13,10,Captain Falcon,5,23
Jigglypuff,15,2,Fox,5,22
Jigglypuff,3,0,Peach,5,21
Jigglypuff,8,2,Captain Falcon,5,20
Jigglypuff,12,4,Fox,5,17
Jigglypuff,3,1,Fox,5,15
Jigglypuff,3,1,Fox,5,14
Jigglypuff,16,7,Fox,5,13
Jigglypuff,18,11,Sheik,5,13
Jigglypuff,29,18,Fox,5,12
Jigglypuff,14,4,Sheik,5,11
Jigglypuff,9,4,Ice Climbers,5,39
Jigglypuff,15,2,Samus,5,43
Jigglypuff,3,1,Luigi,5,44
Jigglypuff,3,0,Falco,5,47
Jigglypuff,6,0,Fox,5,47
Jigglypuff,2,0,Fox,5,381
Jigglypuff,2,0,Peach,5,383
Jigglypuff,6,0,Fox,5,400
Jigglypuff,3,1,Luigi,5,403
Jigglypuff,21,4,Sheik,5,403
Jigglypuff,3,0,Ice Climbers,5,407
Jigglypuff,8,0,Captain Falcon,5,430
Jigglypuff,1,0,Ganon,5,430
Jigglypuff,3,0,Peach,5,437
Jigglypuff,3,1,Fox,5,441
Jigglypuff,2,0,Fox,5,448
Jigglypuff,3,0,Ice Climbers,5,517
Jigglypuff,3,1,Fox,5,2027
Fox,10,6,Pikachu,6,7
Fox,9,1,Marth,6,8
Fox,8,4,Falco,6,9
Fox,1,0,Samus,6,9
Fox,7,4,Marth,6,26
Fox,3,1,Samus,6,24
Fox,3,1,Captain Falcon,6,20
Fox,13,8,Fox,6,15
Fox,1,0,Marth,6,15
Fox,1,0,Sheik,6,15
Mewtwo,0,1,Fox,6,15
Fox,1,0,Samus,6,13
Fox,2,4,Sheik,6,13
Fox,15,5,Fox,6,12
Fox,1,2,Marth,6,11
Fox,2,0,Sheik,6,11
Fox,3,1,Ice Climbers,6,39
Fox,4,4,Samus,6,43
Fox,0,3,Fox,6,47
Fox,3,0,Fox,6,378
Falco,1,2,Captain Falcon,6,391
Fox,12,1,Fox,6,400
Falco,0,3,Sheik,6,403
Mewtwo,0,3,Sheik,6,412
Fox,3,0,Peach,6,414
Fox,3,0,Captain Falcon,6,430
Fox,3,0,Ice Climbers,6,517
Fox,2,3,Marth,6,3869
Falco,0,1,Marth,7,8
Pikachu,6,0,Marth,7,8
Pikachu,4,8,Falco,7,9
Pikachu,3,1,Falco,7,27
Pikachu,11,2,Marth,7,26
Pikachu,3,2,Samus,7,24
Pikachu,5,1,Captain Falcon,7,23
Pikachu,5,5,Fox,7,22
Falco,1,1,Peach,7,21
Ice Climbers,1,0,Ice Climbers,7,21
Marth,1,2,Peach,7,21
Marth,1,0,Pikachu,7,21
Marth,2,1,Sheik,7,21
Pikachu,10,8,Peach,7,21
Falco,0,2,Captain Falcon,7,20
Fox,0,1,Captain Falcon,7,20
Pikachu,13,3,Captain Falcon,7,20
Pikachu,1,1,Sheik,7,20
Pikachu,13,12,Fox,7,17
Pikachu,2,2,Fox,7,15
Pikachu,1,0,Sheik,7,15
Falco,0,1,Fox,7,13
Pikachu,0,2,Fox,7,13
Pikachu,5,12,Sheik,7,13
Pikachu,21,19,Fox,7,12
Falco,0,1,Sheik,7,11
Pikachu,9,5,Sheik,7,11
Falco,1,4,Ice Climbers,7,39
Pikachu,0,1,Ice Climbers,7,39
Young Link,1,0,Ice Climbers,7,39
Falco,1,0,Sheik,7,40
Pikachu,2,0,Sheik,7,40
Marth,0,1,Samus,7,43
Pikachu,8,3,Samus,7,43
Young Link,1,1,Samus,7,43
Marth,0,1,Fox,7,47
Pikachu,5,4,Fox,7,47
Pikachu,3,0,Fox,7,55
Falco,0,1,Fox,7,378
Pikachu,9,3,Fox,7,378
Pikachu,8,3,Captain Falcon,7,391
Falco,2,1,Ice Climbers,7,392
Fox,1,0,Ice Climbers,7,392
Marth,1,0,Ice Climbers,7,392
Pikachu,0,1,Ice Climbers,7,392
Young Link,1,0,Ice Climbers,7,392
Pikachu,3,0,Falco,7,398
Falco,0,1,Sheik,7,403
Pikachu,3,8,Sheik,7,403
Falco,1,0,Ice Climbers,7,407
Fox,1,0,Ice Climbers,7,407
Marth,1,0,Ice Climbers,7,407
Young Link,0,1,Ice Climbers,7,407
Pikachu,3,0,Captain Falcon,7,430
Pikachu,2,0,Ganon,7,430
Pikachu,1,2,Peach,7,437
Pikachu,1,2,Captain Falcon,7,448
Pikachu,2,1,Fox,7,452
Pikachu,1,0,Sheik,7,452
Pikachu,2,0,Ice Climbers,7,517
Marth,8,8,Falco,8,9
Marth,2,1,Fox,8,9
Marth,5,4,Marth,8,26
Marth,6,4,Ice Climbers,8,25
Marth,1,3,Samus,8,24
Marth,2,0,Fox,8,22
Fox,1,1,Captain Falcon,8,20
Marth,6,6,Captain Falcon,8,20
Marth,4,6,Fox,8,17
Marth,5,4,Fox,8,15
Marth,3,1,Fox,8,14
Marth,2,2,Samus,8,13
Marth,0,9,Sheik,8,13
Fox,0,1,Fox,8,12
Marth,16,25,Fox,8,12
Marth,4,3,Sheik,8,11
Marth,1,2,Samus,8,43
Marth,3,1,Falco,8,47
Marth,2,0,Fox,8,47
Marth,3,2,Fox,8,49
Marth,3,1,Fox,8,378
Marth,6,2,Fox,8,381
Marth,3,2,Peach,8,383
Marth,3,2,Ice Climbers,8,392
