p1id,p2id
1,2
1,4
1,5
1,6
1,7
1,9
1,26
1,24
1,23
1,21
1,20
1,18
1,17
1,15
1,14
1,13
1,12
1,11
1,39
1,40
1,43
1,47
1,390
1,400
1,403
1,407
1,409
1,413
1,414
1,430
1,517
2,4
2,5
2,6
2,7
2,8
2,9
2,27
2,26
2,25
2,24
2,23
2,22
2,21
2,20
2,18
2,17
2,15
2,14
2,13
2,12
2,11
2,39
2,43
2,47
2,49
2,50
2,378
2,387
2,388
2,432
2,396
2,402
2,403
2,407
2,409
2,410
2,430
2,436
2,437
2,441
2,449
2,452
2,459
2,460
4,5
4,6
4,7
4,8
4,9
4,27
4,26
4,25
4,24
4,23
4,22
4,21
4,20
4,17
4,15
4,14
4,13
4,12
4,11
4,39
4,43
4,47
4,50
4,51
4,378
4,388
4,392
4,403
4,407
4,430
4,437
4,448
4,453
4,517
4,2027
5,6
5,7
5,8
5,9
5,27
5,26
5,25
5,24
5,23
5,22
5,21
5,20
5,17
5,15
5,14
5,13
5,12
5,11
5,39
5,43
5,44
5,47
5,381
5,383
5,400
5,403
5,407
5,430
5,437
5,441
5,448
5,517
5,2027
6,7
6,8
6,9
6,26
6,24
6,20
6,15
6,13
6,12
6,11
6,39
6,43
6,47
6,378
6,391
6,400
6,403
6,412
6,414
6,430
6,517
6,3869
7,8
7,9
7,27
7,26
7,24
7,23
7,22
7,21
7,20
7,17
7,15
7,13
7,12
7,11
7,39
7,40
7,43
7,47
7,55
7,378
7,391
7,392
7,398
7,403
7,407
7,430
7,437
7,448
7,452
7,517
8,9
8,26
8,25
8,24
8,22
8,20
8,17
8,15
8,14
8,13
8,12
8,11
8,43
8,47
8,49
8,378
8,381
8,383
8,392
8,395
8,403
8,414
8,430
8,2027
8,3869
9,26
9,25
9,24
9,23
9,22
9,20
9,18
9,17
9,15
9,14
9,13
9,12
9,11
9,39
9,40
9,43
9,47
9,388
9,391
9,403
9,407
9,414
9,430
9,437
9,457
9,516
9,517
9,2027
27,25
27,17
27,39
27,40
27,43
